,contrast,homogeneity,correlation,energy,class
766,0.13728557,0.983062652,0.978756571,0.782876318,1
767,0.209994697,0.974536674,0.967621166,0.779774387,1
768,0.186257923,0.976103848,0.971298214,0.780399926,1
769,0.20494432,0.974041862,0.968372469,0.779630431,1
770,0.225398349,0.972380734,0.965248119,0.779117107,1
771,0.291356279,0.959853955,0.957555314,0.715936791,1
772,0.480543421,0.952616631,0.940469062,0.697447958,1
773,0.292921896,0.960119523,0.957346542,0.716141778,1
774,0.1682904,0.975308609,0.975378714,0.721172024,1
775,0.27009419,0.962430577,0.960590857,0.716863016,1
776,0.246003889,0.965469947,0.96411722,0.717755428,1
777,0.267467993,0.962246029,0.960972522,0.716910447,1
778,0.277265726,0.959817277,0.959561221,0.716215853,1
779,0.266104391,0.971047411,0.965424913,0.70393923,1
780,0.154584456,0.982110632,0.979793521,0.70877554,1
781,0.228277064,0.973934357,0.970225534,0.704861701,1
782,0.196308174,0.976515959,0.974405016,0.70621051,1
783,0.23357996,0.973013539,0.969560003,0.704541382,1
784,0.262771142,0.96982298,0.965751463,0.703270079,1
785,0.311204263,0.959726529,0.962941454,0.68539327,1
786,0.32696144,0.961044939,0.964530593,0.69585346,1
787,0.327314967,0.9618177,0.964152654,0.696516714,1
788,0.185903355,0.976879408,0.979752122,0.701965614,1
789,0.28615439,0.967187285,0.968905798,0.697807085,1
790,0.238478826,0.971958339,0.974087385,0.699527863,1
791,0.269538648,0.96838492,0.970723088,0.698356738,1
792,0.298073281,0.963754101,0.967627045,0.696957352,1
793,0.300547966,0.962973024,0.961487395,0.702234524,1
794,0.301861064,0.96310675,0.961046228,0.70229005,1
795,0.174622019,0.976483223,0.977541836,0.707683807,1
796,0.278073786,0.963454485,0.964364838,0.702583679,1
797,0.242115098,0.965961709,0.968914802,0.703761636,1
798,0.27049822,0.962581012,0.965276527,0.702703376,1
799,0.282114088,0.960342866,0.963822682,0.702077573,1
800,0.380545946,0.949661026,0.958243468,0.632607643,1
801,0.382263074,0.949412483,0.957767733,0.632550067,1
